sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
4083625,Ir,484,['c1(ccccc1)C'],5,2.04170849181698,2.0386569563882,3.7,3.6,0.002997230955832484,0.06744948485214831,0.034308460774815454,0.07164100720196978
4116368,Fe,414,[],6,2.001810510048934,1.950503449138732,3.65,3.65,0.005085352063280726,0.0516550888485664,0.07525210439082726,0.07061543769339637
4115597,Fe,378,[],6,2.0155236460364745,1.8838757402474258,3.7,3.65,0.03490320075191629,0.06459769382539754,0.0633694566516573,0.06737591308512836
4132329,Zn,414,[],4,2.0406852531592103,,,3.7,0.04182731220741606,0.1488334323505807,0.09424993328940867,0.174368013791809
2200577,Zn,552,['ClC(Cl)Cl'],4,2.0631319601334717,,,3.7,0.0008624424179165533,0.2688813403704562,0.04514074863734545,0.054612330643594775
2013414,Ru,548,[],5,2.044998466402583,1.8406328925540805,3.75,3.65,1.4131766655487965,3.4392002183016656e-14,2.0484588042252425,2.9250859046882747
7017014,Zn,558,[],4,2.0442444154494623,,,3.7,1.0972683085633566e-16,3.5286219757409204e-17,0.02919856044001447,0.07510155884138386
1568082,Mo,466,[],5,2.1268557280826474,1.6562582215974053,3.6500000000000004,3.7,0.0006859483729467162,0.6367533475262428,0.10458171598231128,0.17470746648194474
7108058,Zn,352,[],4,2.030579529511037,,,3.7,0.013074299089225448,0.03542534188218184,0.02053350878021264,0.047797724149819726
4323744,Ni,444,[],4,1.921094121777267,,,3.6,0.2096998764059217,0.012083273529466233,0.2758856447931169,0.9925756905704108
4322203,Zr,542,[],6,2.2236267120326283,2.088680636659397,3.875,3.9,0.0011990151787752042,0.8891411876274327,0.1669482247135764,0.2630293654224691
4074166,Rh,566,[],5,2.012987994530641,2.3290342003218845,4.1,3.6,0.017594277006171465,0.12546474542884703,0.1471581066148629,0.18866067831241243
4346775,Ni,892,['CCCCCC'],4,1.9138198654810787,,,3.6,0.19983095608427132,0.006901924419513325,0.27145643711482015,1.1910931716239175
4123222,Ni,444,['Clc1ccccc1'],4,1.9477404857064549,,,3.6,0.019448539053424217,0.0007015822332459084,0.1846309443435516,0.07910654078105137
4302042,Zn,616,['C(CCl)Cl'],5,2.077526817825769,2.142048980397507,3.7,3.7,0.05423742333148109,0.33924128501891565,0.10475753614752184,0.8641967080310863
7023552,Zn,702,[],4,2.0245084339485966,,,3.7,0.06927,1.9226287228946117e-18,0.404412,0.6101829999999999
7104049,Ni,452,['ClCCl'],4,1.9385895485362477,,,3.6,0.10062405851446773,0.005672376095897277,0.2268310499291417,0.5132472223086217
4346515,Ru,580,[],6,2.0590506326721787,1.9896229913280052,3.75,3.65,1.7531475280126138e-07,1.753147527391901e-07,0.04835416414859548,0.08159617961816538
4067794,Ru,460,['C(Cl)Cl'],6,2.0626211681302777,1.9715069104789613,3.7,3.65,0.011813210906952063,0.1895703658346246,0.03250214746974027,0.12117657815178723
4336510,Pd,454,[],4,2.0159978200118633,,,3.65,0.029706740900686583,0.006545414815550438,0.05364082391504286,0.21126458299527368
7027484,Y,482,[],5,2.393544838623183,2.6701329668847955,4.2,4.0,0.014851483427891577,1.2369379062922699,0.21713023974184437,0.36764733347755363
2010438,Zr,422,['ClCl.ClCl.[C]'],6,2.2571788370318306,2.2432800384403637,3.8499999999999996,3.9,1.3709200944681017,4.6311734320074624e-14,2.176868915556784,2.832003731619706
4319661,Rh,584,['N#CC'],6,2.028321946079063,2.3384747372496895,3.8499999999999996,3.6,0.04823667250140531,0.00347772471766527,0.04710841115850596,0.35203027559999794
4322117,Zn,358,[],4,2.0301644269186894,,,3.7,0.004782408571136567,0.005161512200261028,0.03367802989716864,0.066575025489409
4067031,Rh,474,[],5,2.0289508606891093,1.9720525793446786,3.7,3.6,0.01289049577282688,0.10818258798612344,0.03240119281400675,0.11978878813893702
2240396,Mn,362,['c1cc(N)ncc1'],5,2.0116390844918843,2.435006409557478,3.8499999999999996,3.65,0.010876269183130814,0.16268908331047635,0.1564414467501575,0.16056881717253285
4127588,Ru,702,['CCCCCC'],5,2.0438463647308773,1.9150111475761702,3.75,3.65,0.0075248916152606425,0.13784122229148968,0.09049080627411213,0.10309015166881651
2208647,Zn,414,[],4,2.0359177557142987,,,3.7,3.5355183548165467e-16,5.062190367018652e-17,0.04423108150659193,0.08456693373062006
2234927,Ni,572,[],4,1.952582313057365,,,3.6,4.380060561184913e-17,4.380060561184913e-17,0.08846662833247403,0.03873741700396112
7015694,Sn,428,[],4,2.09202750857838,,,3.85,6.711489107394486e-17,4.0289872835731925e-17,0.07442137900793552,0.06779409799287478
4083630,Ir,500,['c1(ccccc1)C'],5,2.0309140823670115,1.9704260615458271,3.7,3.6,0.007430945534942062,0.07997042388106931,0.04408767958275434,0.07721722163514894
7103614,Sn,724,['ClC(Cl)Cl'],4,2.111855748124774,,,3.85,0.022975858621468552,0.021382480962552967,0.03940240870189071,0.5921482991901156
7008885,Ni,444,[],4,1.8724368873897455,,,3.6,1.2240924686067152,1.5067061606704167e-15,2.0352426422474243,2.6847863271431205
7124558,Rh,426,['C(Cl)Cl'],6,2.035919670226092,2.1938962092420695,3.7,3.6,0.01811552468867612,0.007628473138726484,0.04593717476871109,0.1855215579356532
7240788,Sn,576,[],4,2.0859000100658056,,,3.85,7.215107771794456e-17,5.188392105560058e-17,0.10892362541966719,0.13748569699805302
7030771,Co,436,[],5,1.9405614943596978,1.9073744706367968,3.7,3.6,0.16028340036726124,0.15404837140567873,0.3562211714760919,0.39228954809322825
1506605,Zn,414,[],4,2.040096825751873,,,3.7,0.015614146590376049,0.03575816266867394,0.13966342581145835,0.18413903367611842
4071802,Rh,436,['C(C)O'],5,2.0163365377983538,2.0737449899339113,3.7,3.6,0.06655983204961541,0.06994834353720943,0.07612081948704316,0.40446614031523265
4116363,Os,422,['ClCCl'],6,2.05992906510331,1.996757511777489,3.6500000000000004,3.6,0.001625520111575934,0.1079610262816509,0.04418388151825805,0.05562420089872322
7157771,Zn,454,[],4,2.043492099836093,,,3.7,0.003203787812335431,0.010855880895940166,0.030041405911495123,0.06250939019662022
4085021,Ir,486,[],6,2.0334739887034337,2.158213394937084,3.625,3.6,0.00198725218849168,0.0986589913247635,0.08862554986229466,0.13052432751899049
2236590,Ni,252,[],4,1.955543786029156,,,3.6,0.01191631380582771,0.01126687881148747,0.07584214195412882,0.05268075529969991
1506811,Ni,492,['CN1[C]=[C][C]=[C]1'],6,2.050685251449334,2.1576109134959953,3.6,3.6,0.05458073700856416,0.01810124355083449,0.06494556251661329,0.7816360092669008
7226004,Zn,864,[],5,2.070739854240943,2.093778567090847,3.6500000000000004,3.7,0.008386599857820075,0.3020650547795097,0.07673210231376923,0.10634088132977501
4126290,Fe,594,['c1ccccc1'],5,1.9847206667115944,1.7891354939313568,3.75,3.65,0.03613492708711809,0.22869210370537169,0.2674695780148178,0.16387847037981443
7223136,Mn,354,[],5,2.0225729813628224,2.423327006256894,3.8499999999999996,3.65,0.006415166344046557,0.17518357757343428,0.10055557646388626,0.10532245595291718
